Orginal,Year,Category,Order,People,Films,Original
13,1958,女優助演賞,6,岡田茉莉子,悪女の季節,女優助演賞	岡田茉莉子「悪女の季節」松竹
13,1958,撮影賞,7,伊佐山三郎,陽のあたる坂道,撮影賞	伊佐山三郎「陽のあたる坂道」日活
13,1958,美術賞,8,柴田篤二,白鷺,美術賞	柴田篤二「白鷺」大映
13,1958,音楽賞,9,"杵屋六左衛門,野沢松之輔",楢山節考,音楽賞	杵屋六左衛門　野沢松之輔「楢山節考」松竹
13,1958,録音賞,10,妹尾芳三郎,彼岸花,録音賞	妹尾芳三郎「彼岸花」松竹
13,1958,教育文化映画賞,11,,,教育文化映画賞	「地底の凱歌」日映新社「ミクロの世界」東京シネマ「オモニと少年」民芸映画社
13,1958,ニュース映画賞,12,,,ニュース映画賞	日活世界ニュース「国会空白の1週間」を含む第204号毎日映画社
13,1958,特別賞,13,,,特別賞	東映作品「白蛇伝」動画技術部門における画期的な成果
13,1958,色彩技術賞,14,,,色彩技術賞	大映作品「白鷺」の渡辺公夫を中心とする色彩技術関係者
14,1959,日本映画大賞,0,,キクとイサム,
14,1959,監督賞,1,山本薩夫,"荷車の歌,人間の壁",監督賞	山本薩夫「荷車の歌」全農映画、「人間の壁」山本プロ
14,1959,脚本賞,2,水木洋子,キクとイサム,脚本賞	水木洋子「キクとイサム」大東映画
14,1959,男優主演賞,3,船越英二,野火,男優主演賞	船越英二「野火」大映
14,1959,女優主演賞,4,北林谷栄,キクとイサム,女優主演賞	北林谷栄「キクとイサム」大東映画
14,1959,男優助演賞,5,宇野重吉,人間の壁,男優助演賞	宇野重吉「人間の壁」山本プロ
14,1959,女優助演賞,6,吉行和子,"才女気質,にあんちゃん",女優助演賞	吉行和子「才女気質」日活、「にあんちゃん」日活
14,1959,撮影賞,7,宮島義勇,人間條件,撮影賞	宮島義勇「人間條件」にんじんくらぶ　人間プロ
14,1959,美術賞,8,鈴木孝俊,"浪花の恋の物語,大菩薩峠・完結篇",美術賞	鈴木孝俊「浪花の恋の物語」東映、「大菩薩峠・完結篇」東映
14,1959,音楽賞,9,林光,"第五福竜丸,荷車の歌,人間の壁",音楽賞	林 光「第五福竜丸」近代映画、「荷車の歌」全農映画、「人間の壁」山本プロ
14,1959,録音賞,10,橋本文雄,"才女気質,にあんちゃん",録音賞	橋本文雄「才女気質」日活、「にあんちゃん」日活
14,1959,教育文化映画賞,11,,,教育文化映画賞	「秘境ヒマラヤ」読売映画社「うわさはひろがる」第一映画社「癌細胞」東京シネマ
